id,state,name,rate
1001,Alabama,Autauga County,2.492743471
1003,Alabama,Baldwin County,2.454463633
1005,Alabama,Barbour County,2.546741683
1007,Alabama,Bibb County,2.742875473
1009,Alabama,Blount County,2.663308729
1011,Alabama,Bullock County,2.376422106
1013,Alabama,Butler County,3.573611813
1015,Alabama,Calhoun County,2.803730081
1017,Alabama,Chambers County,2.694698558
1019,Alabama,Cherokee County,2.801898739
1021,Alabama,Chilton County,2.481033722
1023,Alabama,Choctaw County,2.696005858
1025,Alabama,Clarke County,2.300058284
1027,Alabama,Clay County,2.376422106
1029,Alabama,Cleburne County,2.586160577
1031,Alabama,Coffee County,2.204429449
1033,Alabama,Colbert County,2.776470283
1035,Alabama,Conecuh County,4.213282435
1037,Alabama,Coosa County,2.475043225
1039,Alabama,Covington County,2.477629834
1041,Alabama,Crenshaw County,2.574850967
1043,Alabama,Cullman County,2.616085472
1045,Alabama,Dale County,2.667372822
1047,Alabama,Dallas County,2.501772249
1049,Alabama,DeKalb County,4.261789619
1051,Alabama,Elmore County,2.443666562
1053,Alabama,Escambia County,2.399360748
1055,Alabama,Etowah County,2.8396749
1057,Alabama,Fayette County,3.359162116
1059,Alabama,Franklin County,3.377589307
1061,Alabama,Geneva County,2.665027368
1063,Alabama,Greene County,3.264381462
1065,Alabama,Hale County,2.637746396
1067,Alabama,Henry County,2.678786673
1069,Alabama,Houston County,2.487401841
1071,Alabama,Jackson County,2.794643326
1073,Alabama,Jefferson County,3.325535107
1075,Alabama,Lamar County,2.421868217
1077,Alabama,Lauderdale County,2.726584168
1079,Alabama,Lawrence County,3.379312473
1081,Alabama,Lee County,2.749519534
1083,Alabama,Limestone County,2.820590561
1085,Alabama,Lowndes County,2.046907615
1087,Alabama,Macon County,1.979217256
1089,Alabama,Madison County,2.853706222
1091,Alabama,Marengo County,2.739182269
1093,Alabama,Marion County,2.50207298
1095,Alabama,Marshall County,2.901082894
1097,Alabama,Mobile County,2.485458506
1099,Alabama,Monroe County,3.442298945
1101,Alabama,Montgomery County,3.528731462
1103,Alabama,Morgan County,2.832610445
1105,Alabama,Perry County,3.408214544
1107,Alabama,Pickens County,2.71014864
1109,Alabama,Pike County,3.52078943
1111,Alabama,Randolph County,2.706198961
1113,Alabama,Russell County,2.730721643
1115,Alabama,St. Clair County,4.083105645
1117,Alabama,Shelby County,2.751147865
1119,Alabama,Sumter County,1.5867774
1121,Alabama,Talladega County,2.570288062
1123,Alabama,Tallapoosa County,2.693933889
1125,Alabama,Tuscaloosa County,2.719734734
1127,Alabama,Walker County,2.586437603
1129,Alabama,Washington County,3.399780911
1131,Alabama,Wilcox County,4.5668118
1133,Alabama,Winston County,2.60517913
2013,Alaska,Aleutians East Borough,3.477897295
2016,Alaska,Aleutians West Census Area,3.279705864
2020,Alaska,Anchorage Municipality,3.580669571
2050,Alaska,Bethel Census Area,3.375588111
2060,Alaska,Bristol Bay Borough,4.036326181
2068,Alaska,Denali Borough,3.821402643
2070,Alaska,Dillingham Census Area,3.483426217
2090,Alaska,Fairbanks North Star Borough,3.825332779
2100,Alaska,Haines Borough,4.215772493
2105,Alaska,Hoonah-Angoon Census Area,3.249015408
2110,Alaska,Juneau City and Borough,3.238009453
2122,Alaska,Kenai Peninsula Borough,3.894052419
2130,Alaska,Ketchikan Gateway Borough,3.404615587
2150,Alaska,Kodiak Island Borough,3.299169123
2158,Alaska,Kusilvak Census Area,4.057355674
2164,Alaska,Lake and Peninsula Borough,3.37097843
2170,Alaska,Matanuska-Susitna Borough,3.472326582
2180,Alaska,Nome Census Area,3.370478927
2185,Alaska,North Slope Borough,3.371658006
2188,Alaska,Northwest Arctic Borough,4.154496158
2195,Alaska,Petersburg Census Area,3.386374882
2198,Alaska,Prince of Wales-Hyder Census Area,3.47516479
2220,Alaska,Sitka City and Borough,3.430792973
2230,Alaska,Skagway Municipality,3.375372981
2240,Alaska,Southeast Fairbanks Census Area,3.688381128
2261,Alaska,Valdez-Cordova Census Area,3.65646519
2275,Alaska,Wrangell City and Borough,3.371452925
2282,Alaska,Yakutat City and Borough,3.401664326
2290,Alaska,Yukon-Koyukuk Census Area,3.495622318
4001,Arizona,Apache County,3.269349941
4003,Arizona,Cochise County,3.62311163
4005,Arizona,Coconino County,3.339114414
4007,Arizona,Gila County,3.492681902
4009,Arizona,Graham County,3.452831617
4011,Arizona,Greenlee County,3.571194301
4012,Arizona,La Paz County,3.380195557
4013,Arizona,Maricopa County,3.212824841
4015,Arizona,Mohave County,3.189546401
4017,Arizona,Navajo County,3.270753816
4019,Arizona,Pima County,3.473066983
4021,Arizona,Pinal County,3.352933607
4023,Arizona,Santa Cruz County,3.205958066
4025,Arizona,Yavapai County,3.408450407
4027,Arizona,Yuma County,3.46858486
5001,Arkansas,Arkansas County,2.965839941
5003,Arkansas,Ashley County,2.92841711
5005,Arkansas,Baxter County,2.838760194
5007,Arkansas,Benton County,3.119846675
5009,Arkansas,Boone County,2.747616741
5011,Arkansas,Bradley County,3.782902448
5013,Arkansas,Calhoun County,4.547752052
5015,Arkansas,Carroll County,2.874314193
5017,Arkansas,Chicot County,2.924683238
5019,Arkansas,Clark County,2.859541249
5021,Arkansas,Clay County,2.858793289
5023,Arkansas,Cleburne County,2.978186977
5025,Arkansas,Cleveland County,2.906622858
5027,Arkansas,Columbia County,2.918165703
5029,Arkansas,Conway County,3.010285742
5031,Arkansas,Craighead County,0.029789585
5033,Arkansas,Crawford County,0.070722777
5035,Arkansas,Crittenden County,2.99277284
5037,Arkansas,Cross County,2.973428636
5039,Arkansas,Dallas County,2.843346164
5041,Arkansas,Desha County,2.205125373
5043,Arkansas,Drew County,2.932026464
5045,Arkansas,Faulkner County,3.01481116
5047,Arkansas,Franklin County,3.110326839
5049,Arkansas,Fulton County,2.930343063
5051,Arkansas,Garland County,3.022220282
5053,Arkansas,Grant County,2.938888756
5055,Arkansas,Greene County,3.023278945
5057,Arkansas,Hempstead County,3.07565194
5059,Arkansas,Hot Spring County,3.015246696
5061,Arkansas,Howard County,2.663472593
5063,Arkansas,Independence County,2.974580055
5065,Arkansas,Izard County,2.906897578
5067,Arkansas,Jackson County,2.833606254
5069,Arkansas,Jefferson County,2.964152647
5071,Arkansas,Johnson County,2.951753081
5073,Arkansas,Lafayette County,4.602729455
5075,Arkansas,Lawrence County,2.962615869
5077,Arkansas,Lee County,2.769174762
5079,Arkansas,Lincoln County,2.849264847
5081,Arkansas,Little River County,3.12598816
5083,Arkansas,Logan County,3.091839053
5085,Arkansas,Lonoke County,3.003382495
5087,Arkansas,Madison County,3.102340782
5089,Arkansas,Marion County,2.882462272
5091,Arkansas,Miller County,3.089579125
5093,Arkansas,Mississippi County,2.533806268
5095,Arkansas,Monroe County,3.024556471
5097,Arkansas,Montgomery County,4.076574816
5099,Arkansas,Nevada County,2.846783112
5101,Arkansas,Newton County,3.653109762
5103,Arkansas,Ouachita County,2.918165703
5105,Arkansas,Perry County,2.973509764
5107,Arkansas,Phillips County,2.861133787
5109,Arkansas,Pike County,2.506586343
5111,Arkansas,Poinsett County,2.969203113
5113,Arkansas,Polk County,2.541144027
5115,Arkansas,Pope County,2.99513871
5117,Arkansas,Prairie County,3.009815471
5119,Arkansas,Pulaski County,2.993965184
5121,Arkansas,Randolph County,2.748566896
5123,Arkansas,St. Francis County,2.633269317
5125,Arkansas,Saline County,2.998004311
5127,Arkansas,Scott County,3.074779725
5129,Arkansas,Searcy County,2.835616529
5131,Arkansas,Sebastian County,3.012247712
5133,Arkansas,Sevier County,3.035047312
5135,Arkansas,Sharp County,2.975827087
5137,Arkansas,Stone County,2.692977094
5139,Arkansas,Union County,2.763125957
5141,Arkansas,Van Buren County,3.034900549
5143,Arkansas,Washington County,3.0964761
5145,Arkansas,White County,3.005929227
5147,Arkansas,Woodruff County,2.955530485
5149,Arkansas,Yell County,2.969120998
6001,California,Alameda County,3.251988955
6003,California,Alpine County,3.238148328
6005,California,Amador County,3.261688055
6007,California,Butte County,3.278231919
6009,California,Calaveras County,3.257453829
6011,California,Colusa County,3.26509183
6013,California,Contra Costa County,3.255758631
6015,California,Del Norte County,3.204231873
6017,California,El Dorado County,3.252119312
6019,California,Fresno County,3.261611118
6021,California,Glenn County,3.265173273
6023,California,Humboldt County,3.228739974
6025,California,Imperial County,3.203050069
6027,California,Inyo County,3.241862154
6029,California,Kern County,3.257885488
6031,California,Kings County,3.25244655
6033,California,Lake County,3.258175044
6035,California,Lassen County,3.221852054
6037,California,Los Angeles County,3.260424326
6039,California,Madera County,3.262462862
6041,California,Marin County,3.249196634
6043,California,Mariposa County,3.254383245
6045,California,Mendocino County,3.252709733
6047,California,Merced County,3.268520978
6049,California,Modoc County,3.172768167
6051,California,Mono County,3.216030866
6053,California,Monterey County,3.248155106
6055,California,Napa County,3.244182421
6057,California,Nevada County,3.2435118
6059,California,Orange County,3.263660259
6061,California,Placer County,3.254792383
6063,California,Plumas County,3.250321763
6065,California,Riverside County,3.200980351
6067,California,Sacramento County,3.212658511
6069,California,San Benito County,3.254383245
6071,California,San Bernardino County,3.264650158
6073,California,San Diego County,3.265348312
6075,California,San Francisco County,3.240898378
6077,California,San Joaquin County,3.270175148
6079,California,San Luis Obispo County,3.241497975
6081,California,San Mateo County,3.246423991
6083,California,Santa Barbara County,3.262463463
6085,California,Santa Clara County,3.253306469
6087,California,Santa Cruz County,3.255342521
6089,California,Shasta County,3.269735697
6091,California,Sierra County,3.286912195
6093,California,Siskiyou County,3.211638839
6095,California,Solano County,3.261765091
6097,California,Sonoma County,3.248276595
6099,California,Stanislaus County,3.261376475
6101,California,Sutter County,3.28657035
6103,California,Tehama County,3.27250948
6105,California,Trinity County,-0.00926969
6107,California,Tulare County,3.265969001
6109,California,Tuolumne County,3.282648574
6111,California,Ventura County,3.252119312
6113,California,Yolo County,3.260923072
6115,California,Yuba County,3.291908068
8001,Colorado,Adams County,3.3171079
8003,Colorado,Alamosa County,3.492160211
8005,Colorado,Arapahoe County,3.309748151
8007,Colorado,Archuleta County,3.382243568
8009,Colorado,Baca County,3.72017238
8011,Colorado,Bent County,3.398946954
8013,Colorado,Boulder County,3.264306635
8014,Colorado,Broomfield County,3.289075001
8015,Colorado,Chaffee County,3.358556484
8017,Colorado,Cheyenne County,3.962967324
8019,Colorado,Clear Creek County,3.225590722
8021,Colorado,Conejos County,3.250601037
8023,Colorado,Costilla County,3.259500435
8025,Colorado,Crowley County,3.385786986
8027,Colorado,Custer County,3.390547456
8029,Colorado,Delta County,3.310030955
8031,Colorado,Denver County,3.252612626
8033,Colorado,Dolores County,3.468629704
8035,Colorado,Douglas County,3.311295618
8037,Colorado,Eagle County,3.197192046
8039,Colorado,Elbert County,3.342546563
8041,Colorado,El Paso County,3.373592528
8043,Colorado,Fremont County,3.409582556
8045,Colorado,Garfield County,3.222120591
8047,Colorado,Gilpin County,3.227981785
8049,Colorado,Grand County,3.29063976
8051,Colorado,Gunnison County,3.321625855
8053,Colorado,Hinsdale County,3.407234612
8055,Colorado,Huerfano County,3.419483927
8057,Colorado,Jackson County,2.504667892
8059,Colorado,Jefferson County,2.715103407
8061,Colorado,Kiowa County,4.542796368
8063,Colorado,Kit Carson County,3.411490489
8065,Colorado,Lake County,3.23045779
8067,Colorado,La Plata County,3.502532934
8069,Colorado,Larimer County,3.248843729
8071,Colorado,Las Animas County,3.466675697
8073,Colorado,Lincoln County,2.718182725
8075,Colorado,Logan County,3.464638855
8077,Colorado,Mesa County,3.398227708
8079,Colorado,Mineral County,3.396003582
8081,Colorado,Moffat County,3.192883346
8083,Colorado,Montezuma County,3.67731581
8085,Colorado,Montrose County,3.312942926
8087,Colorado,Morgan County,3.33441286
8089,Colorado,Otero County,3.41287837
8091,Colorado,Ouray County,3.321918096
8093,Colorado,Park County,3.242390647
8095,Colorado,Phillips County,3.264089578
8097,Colorado,Pitkin County,3.170387139
8099,Colorado,Prowers County,1.676168903
8101,Colorado,Pueblo County,3.411105132
8103,Colorado,Rio Blanco County,3.220894472
8105,Colorado,Rio Grande County,3.424669627
8107,Colorado,Routt County,3.194392303
8109,Colorado,Saguache County,3.259500435
